SUB_ID,cohort,model_name,output_type,F1
MWC_105,MWC,base,Voxel,0.7336902800658979
MWC_0,MWC,base,Voxel,0.8017281523257619
MWC_6,MWC,base,Voxel,0.3525423728813559
MWC_63,MWC,base,Voxel,0.8206925376973282
MRS_37,MRi-Share,base,Cluster,0.4705882352941176
MRS_33,MRi-Share,base,Cluster,0.7272727272727273
MRS_29,MRi-Share,base,Cluster,0.5454545454545454
MRS_21,MRi-Share,base,Cluster,0.2
MRS_12,MRi-Share,base,Cluster,0.6666666666666666
MRS_10,MRi-Share,base,Cluster,0.1538461538461538
MRS_4,MRi-Share,base,Cluster,1
MWC_41,MWC,base,Cluster,0.6181818181818182
MWC_35,MWC,base,Cluster,0.6268656716417911
MWC_115,MWC,base,Cluster,0.7671232876712328
MWC_114,MWC,base,Cluster,0.9058823529411764
MWC_105,MWC,base,Cluster,0.7474747474747475
MWC_0,MWC,base,Cluster,0.7368421052631579
MWC_6,MWC,base,Cluster,0.4
MWC_63,MWC,base,Cluster,0.5945945945945946
MRS_8,MRi-Share,base,Voxel,0.3041825095057034
MRS_40,MRi-Share,base,Voxel,0.3699421965317919
MRS_23,MRi-Share,base,Voxel,0.6416107382550336
MRS_19,MRi-Share,base,Voxel,0
MRS_9,MRi-Share,base,Voxel,0.0833333333333333
MRS_48,MRi-Share,base,Voxel,0
MWC_58,MWC,base,Voxel,0.3739919354838709
MWC_56,MWC,base,Voxel,0.8317932922655715
MWC_52,MWC,base,Voxel,0.785224010982154
MWC_25,MWC,base,Voxel,0.8328981723237598
MWC_23,MWC,base,Voxel,0.4418732782369146
MWC_116,MWC,base,Voxel,0.5760142666072224
MWC_107,MWC,base,Voxel,0.7276016675843625
MWC_104,MWC,base,Voxel,0.8299875954365183
MWC_68,MWC,base,Voxel,0.8194169843253246
MRS_8,MRi-Share,base,Cluster,0.5714285714285714
MRS_40,MRi-Share,base,Cluster,0.75
MRS_23,MRi-Share,base,Cluster,0.6206896551724138
MRS_19,MRi-Share,base,Cluster,0
MRS_9,MRi-Share,base,Cluster,0.3333333333333333
MRS_48,MRi-Share,base,Cluster,0
MWC_58,MWC,base,Cluster,0.6285714285714286
MWC_56,MWC,base,Cluster,0.6956521739130435
MWC_52,MWC,base,Cluster,0.5066666666666667
MWC_25,MWC,base,Cluster,0.4561403508771929
MWC_23,MWC,base,Cluster,0.6666666666666666
MWC_116,MWC,base,Cluster,0.5806451612903226
MWC_107,MWC,base,Cluster,0.704225352112676
MWC_104,MWC,base,Cluster,0.8055555555555556
MWC_68,MWC,base,Cluster,0.53125
MRS_45,MRi-Share,base,Voxel,0.1509433962264151
MRS_18,MRi-Share,base,Voxel,0.6410256410256411
MRS_17,MRi-Share,base,Voxel,0.378839590443686
MRS_16,MRi-Share,base,Voxel,0.6739130434782609
MRS_13,MRi-Share,base,Voxel,0.4202898550724637
MRS_3,MRi-Share,base,Voxel,0.5567206863679695
MRS_50,MRi-Share,base,Voxel,0
MWC_50,MWC,base,Voxel,0.8292693216334796
MWC_39,MWC,base,Voxel,0.859831868429868
MWC_17,MWC,base,Voxel,0.6361088871096877
MWC_144,MWC,base,Voxel,0.5347368421052632
MWC_137,MWC,base,Voxel,0.7071038251366121
MWC_113,MWC,base,Voxel,0.8247317817442058
MWC_112,MWC,base,Voxel,0.7168663243962731
MWC_64,MWC,base,Voxel,0.8010291595197255
MRS_45,MRi-Share,base,Cluster,0.6666666666666666
MRS_18,MRi-Share,base,Cluster,0.2857142857142857
MRS_17,MRi-Share,base,Cluster,0.4054054054054054
MRS_16,MRi-Share,base,Cluster,0.8
MRS_13,MRi-Share,base,Cluster,0.4848484848484848
MRS_3,MRi-Share,base,Cluster,0.4571428571428571
MRS_50,MRi-Share,base,Cluster,0
MWC_50,MWC,base,Cluster,0.6950354609929078
MWC_39,MWC,base,Cluster,0.4671532846715328
MWC_17,MWC,base,Cluster,0.4943820224719101
MWC_144,MWC,base,Cluster,0.6950354609929078
MWC_137,MWC,base,Cluster,0.8333333333333334
MWC_113,MWC,base,Cluster,0.8243243243243243
MWC_112,MWC,base,Cluster,0.8226950354609929
MWC_64,MWC,base,Cluster,0.6153846153846154
MRS_42,MRi-Share,base,Voxel,0.4921135646687697
MRS_36,MRi-Share,base,Voxel,0.3187772925764192
