SUB_ID,cohort,methods,output_type,precision,sensitivity,F1,HD95,total_pred_vol,total_raw_truth_vol
MWC_57,MWC,enh270_mono,Voxel,0.898021978021978,0.7874349585661977,0.8391005236677277,1.4142135623730951,13650,15567
MWC_51,MWC,enh270_mono,Voxel,0.8997807704353272,0.7561094819159335,0.8217123945330854,2,22351,26598
MWC_62,MWC,enh270_mono,Voxel,0.9699754400327466,0.7727287549729341,0.8601894874401046,2.23606797749979,48860,61332
MWC_54,MWC,enh270_mono,Voxel,0.8753180661577609,0.4376590330788804,0.5835453774385072,5.0990195135927845,393,786
MWC_132,MWC,enh270_mono,Cluster,0.8780487804878049,0.6923076923076923,0.7741935483870968,NA,NA,NA
MWC_31,MWC,enh270_mono,Cluster,0.8674698795180723,0.6545454545454545,0.7461139896373057,NA,NA,NA
MWC_100,MWC,enh270_mono,Cluster,0.8987341772151899,0.71,0.7932960893854749,NA,NA,NA
MWC_21,MWC,enh270_mono,Cluster,0.8235294117647058,0.8166666666666667,0.8200836820083682,NA,NA,NA
MWC_109,MWC,enh270_mono,Cluster,0.8125,0.7090909090909091,0.7572815533980582,NA,NA,NA
MWC_33,MWC,enh270_mono,Cluster,0.7868852459016393,0.7619047619047619,0.7741935483870968,NA,NA,NA
MWC_57,MWC,enh270_mono,Cluster,0.8,0.6,0.6857142857142857,NA,NA,NA
MWC_51,MWC,enh270_mono,Cluster,0.9298245614035088,0.6883116883116883,0.7910447761194029,NA,NA,NA
MWC_62,MWC,enh270_mono,Cluster,0.9787234042553192,0.5609756097560976,0.7131782945736435,NA,NA,NA
MWC_54,MWC,enh270_mono,Cluster,1,1,1,NA,NA,NA
MWC_21,MWC,LST-LPA,Voxel,0.5467158031649686,0.8387096774193549,0.6619422572178477,3.1622776601683795,38129.35119,24854.748713493347
MWC_31,MWC,LST-LPA,Voxel,0.922120388707226,0.8116259272771494,0.8633521624768229,1,59823.87473,67968.27358531952
MWC_33,MWC,LST-LPA,Voxel,0.4781529294935452,0.672486033519553,0.558908879860708,3.3166247903554,5548.99294,3945.460609436035
